show_id,type,title,director,country,date_added,release_year,rating,durations,listed_in,description
s0018,Movie,Title 18,Ken Burns,United Kingdom,"July 08, 2018",2014,G,83 min,Documentaries,Sample description for Title 18.
s0019,Movie,Title 19,Rajiv Chilaka,Canada,"March 16, 2023",2021,PG,161 min,Action,Sample description for Title 19.
s0020,Movie,Title 20,Suhas Kadav,United Kingdom,"March 08, 2023",2016,TV-PG,118 min,Crime,Sample description for Title 20.
s0021,Movie,Title 21,Rajiv Chilaka,United States,"June 14, 2022",2012,R,168 min,Romantic,Sample description for Title 21.
s0022,Movie,Title 22,Ken Burns,France,"October 30, 2021",2023,TV-14,129 min,Romantic,Sample description for Title 22.
s0023,Movie,Title 23,Steven Spielberg,United Kingdom,"March 29, 2022",2021,R,105 min,Romantic,Sample description for Title 23.
s0024,Movie,Title 24,Ken Burns,France,"November 16, 2023",2012,TV-14,171 min,Horror,Sample description for Title 24.
s0025,Movie,Title 25,Ava DuVernay,France,"March 20, 2019",2025,PG,162 min,Thriller,Sample description for Title 25.
s0026,Movie,Title 26,Marcus Raboy,Canada,"April 15, 2018",2020,TV-PG,129 min,Documentaries,Sample description for Title 26.
s0027,Movie,Title 27,Youssef Chahine,Mexico,"September 19, 2018",2018,PG,106 min,Comedy,Sample description for Title 27.
s0028,Movie,Title 28,Raúl Campos,Mexico,"September 20, 2024",2018,TV-PG,157 min,Drama,Sample description for Title 28.
s0029,Movie,Title 29,Ken Burns,India,"October 17, 2020",2024,G,147 min,International Movies,Sample description for Title 29.
s0030,Movie,Title 30,Steven Spielberg,South Korea,"June 06, 2020",2021,TV-14,162 min,Documentaries,Sample description for Title 30.
s0031,Movie,Title 31,Ava DuVernay,United States,"May 13, 2020",2024,TV-MA,119 min,Drama,Sample description for Title 31.
s0032,Movie,Title 32,Ken Burns,South Korea,"March 23, 2021",2017,TV-14,119 min,Children & Family,Sample description for Title 32.
s0033,Movie,Title 33,Ken Burns,Canada,"July 16, 2023",2023,R,88 min,Documentaries,Sample description for Title 33.
s0034,Movie,Title 34,Steven Spielberg,United States,"April 27, 2021",2024,TV-MA,92 min,Thriller,Sample description for Title 34.
s0035,Movie,Title 35,Youssef Chahine,South Korea,"July 29, 2020",2014,TV-MA,133 min,Children & Family,Sample description for Title 35.
s0036,Movie,Title 36,Youssef Chahine,Japan,"January 18, 2023",2022,G,177 min,Action,Sample description for Title 36.
s0037,Movie,Title 37,Martin Scorsese,United States,"July 17, 2019",2013,PG-13,93 min,Thriller,Sample description for Title 37.
s0038,Movie,Title 38,Martin Scorsese,India,"January 08, 2023",2017,G,81 min,Action,Sample description for Title 38.
s0039,Movie,Title 39,Ken Burns,Japan,"October 06, 2022",2011,TV-MA,83 min,Thriller,Sample description for Title 39.
s0040,Movie,Title 40,Rajiv Chilaka,South Korea,"May 19, 2019",2012,R,137 min,Romantic,Sample description for Title 40.
s0041,Movie,Title 41,Jay Karas,Spain,"December 26, 2023",2023,G,92 min,Documentaries,Sample description for Title 41.
s0042,Movie,Title 42,Marcus Raboy,Canada,"August 13, 2024",2021,PG,122 min,Comedy,Sample description for Title 42.
s0043,Movie,Title 43,Raúl Campos,Brazil,"February 21, 2024",2020,TV-PG,82 min,Thriller,Sample description for Title 43.
s0044,Movie,Title 44,Martin Scorsese,Brazil,"December 11, 2023",2020,PG-13,94 min,Comedy,Sample description for Title 44.
s0045,Movie,Title 45,Youssef Chahine,Japan,"June 27, 2021",2019,TV-14,100 min,Thriller,Sample description for Title 45.
s0046,Movie,Title 46,Youssef Chahine,France,"January 05, 2018",2021,R,110 min,Horror,Sample description for Title 46.
s0047,Movie,Title 47,Ken Burns,Spain,"February 07, 2021",2024,G,155 min,Action,Sample description for Title 47.
s0048,Movie,Title 48,Ken Burns,Brazil,"November 09, 2018",2010,TV-MA,180 min,Horror,Sample description for Title 48.
s0049,Movie,Title 49,Raúl Campos,South Korea,"October 13, 2024",2015,TV-14,126 min,Comedy,Sample description for Title 49.
s0050,Movie,Title 50,Marcus Raboy,Mexico,"June 28, 2020",2020,TV-PG,180 min,Horror,Sample description for Title 50.
s0051,Movie,Title 51,Marcus Raboy,United Kingdom,"June 16, 2019",2022,G,119 min,Documentaries,Sample description for Title 51.
s0052,Movie,Title 52,Martin Scorsese,India,"July 29, 2024",2022,TV-14,84 min,Children & Family,Sample description for Title 52.
s0053,Movie,Title 53,Marcus Raboy,Canada,"July 07, 2019",2014,PG-13,130 min,International Movies,Sample description for Title 53.
s0054,Movie,Title 54,Jay Karas,India,"September 28, 2019",2015,G,132 min,Children & Family,Sample description for Title 54.
s0055,Movie,Title 55,Youssef Chahine,India,"January 08, 2022",2019,TV-PG,94 min,Drama,Sample description for Title 55.
s0056,Movie,Title 56,Rajiv Chilaka,Mexico,"January 16, 2023",2010,TV-MA,179 min,Documentaries,Sample description for Title 56.
s0057,Movie,Title 57,Raúl Campos,United Kingdom,"March 21, 2024",2017,TV-MA,175 min,Romantic,Sample description for Title 57.
s0058,Movie,Title 58,Steven Spielberg,Japan,"December 17, 2019",2013,TV-14,180 min,Thriller,Sample description for Title 58.
s0059,Movie,Title 59,Suhas Kadav,United Kingdom,"January 07, 2022",2016,TV-14,119 min,Documentaries,Sample description for Title 59.
s0060,Movie,Title 60,Suhas Kadav,United States,"November 20, 2021",2021,TV-MA,125 min,Crime,Sample description for Title 60.
s0061,Movie,Title 61,Martin Scorsese,Canada,"August 06, 2021",2016,R,90 min,Horror,Sample description for Title 61.
s0062,Movie,Title 62,Rajiv Chilaka,Japan,"September 26, 2020",2020,PG,123 min,Comedy,Sample description for Title 62.
s0063,Movie,Title 63,Raúl Campos,Spain,"August 20, 2020",2011,PG-13,169 min,Thriller,Sample description for Title 63.
s0064,Movie,Title 64,Martin Scorsese,United States,"November 02, 2020",2018,G,123 min,Action,Sample description for Title 64.
s0065,Movie,Title 65,Jay Karas,Canada,"April 04, 2018",2017,PG-13,150 min,Horror,Sample description for Title 65.
s0066,Movie,Title 66,Steven Spielberg,Brazil,"January 05, 2021",2025,TV-PG,160 min,Thriller,Sample description for Title 66.
s0067,Movie,Title 67,Marcus Raboy,Brazil,"January 07, 2020",2020,G,118 min,Drama,Sample description for Title 67.
s0068,Movie,Title 68,Marcus Raboy,Spain,"April 01, 2021",2023,R,121 min,Documentaries,Sample description for Title 68.
s0069,Movie,Title 69,Raúl Campos,United Kingdom,"January 26, 2018",2024,R,178 min,International Movies,Sample description for Title 69.
s0070,Movie,Title 70,Steven Spielberg,France,"July 16, 2023",2010,R,164 min,Documentaries,Sample description for Title 70.
s0071,Movie,Title 71,Raúl Campos,South Korea,"January 05, 2020",2010,TV-MA,135 min,Horror,Sample description for Title 71.
s0072,Movie,Title 72,Martin Scorsese,Japan,"September 11, 2021",2020,PG,168 min,Romantic,Sample description for Title 72.
s0073,Movie,Title 73,Marcus Raboy,Japan,"December 30, 2022",2023,G,126 min,Romantic,Sample description for Title 73.
s0074,Movie,Title 74,Steven Spielberg,Spain,"March 02, 2019",2013,TV-PG,134 min,Documentaries,Sample description for Title 74.
s0075,Movie,Title 75,Martin Scorsese,United Kingdom,"June 27, 2022",2022,TV-MA,85 min,Crime,Sample description for Title 75.
s0076,Movie,Title 76,Raúl Campos,India,"June 11, 2023",2010,R,82 min,Thriller,Sample description for Title 76.
s0077,Movie,Title 77,Ava DuVernay,United Kingdom,"June 14, 2023",2011,PG,84 min,Thriller,Sample description for Title 77.
s0078,Movie,Title 78,Ava DuVernay,Spain,"May 08, 2021",2023,TV-14,166 min,Thriller,Sample description for Title 78.
s0079,Movie,Title 79,Martin Scorsese,United Kingdom,"April 23, 2021",2021,G,114 min,Children & Family,Sample description for Title 79.
s0080,Movie,Title 80,Raúl Campos,Canada,"November 01, 2024",2023,TV-MA,113 min,Children & Family,Sample description for Title 80.
s0081,Movie,Title 81,Marcus Raboy,United States,"July 01, 2024",2024,TV-PG,143 min,Romantic,Sample description for Title 81.
s0082,Movie,Title 82,Rajiv Chilaka,Japan,"January 11, 2024",2018,PG-13,96 min,Drama,Sample description for Title 82.
s0083,Movie,Title 83,Steven Spielberg,South Korea,"July 26, 2023",2025,G,176 min,Documentaries,Sample description for Title 83.
s0084,Movie,Title 84,Rajiv Chilaka,France,"May 03, 2020",2010,TV-PG,172 min,Documentaries,Sample description for Title 84.
s0085,Movie,Title 85,Rajiv Chilaka,Japan,"July 27, 2018",2013,G,173 min,Action,Sample description for Title 85.
s0086,Movie,Title 86,Suhas Kadav,South Korea,"March 05, 2024",2016,TV-PG,95 min,Crime,Sample description for Title 86.
s0087,Movie,Title 87,Youssef Chahine,India,"December 06, 2022",2014,TV-14,170 min,Action,Sample description for Title 87.
s0088,Movie,Title 88,Martin Scorsese,Japan,"August 04, 2018",2017,TV-PG,114 min,Drama,Sample description for Title 88.
s0089,Movie,Title 89,Raúl Campos,France,"October 17, 2019",2018,PG,98 min,Crime,Sample description for Title 89.
s0090,Movie,Title 90,Suhas Kadav,India,"August 12, 2023",2018,TV-PG,169 min,Horror,Sample description for Title 90.
s0091,Movie,Title 91,Raúl Campos,Canada,"January 23, 2021",2010,PG-13,155 min,Comedy,Sample description for Title 91.
s0092,Movie,Title 92,Rajiv Chilaka,Canada,"November 05, 2019",2016,PG,116 min,Horror,Sample description for Title 92.
s0093,Movie,Title 93,Rajiv Chilaka,Brazil,"August 10, 2020",2014,G,103 min,Documentaries,Sample description for Title 93.
s0094,Movie,Title 94,Raúl Campos,Brazil,"April 10, 2023",2016,TV-14,150 min,Crime,Sample description for Title 94.
s0095,Movie,Title 95,Suhas Kadav,South Korea,"August 20, 2024",2024,PG,139 min,Comedy,Sample description for Title 95.
s0096,Movie,Title 96,Jay Karas,United States,"July 28, 2023",2023,TV-MA,109 min,Romantic,Sample description for Title 96.
s0097,Movie,Title 97,Steven Spielberg,Japan,"September 26, 2021",2017,PG-13,166 min,Drama,Sample description for Title 97.
s0098,Movie,Title 98,Raúl Campos,United Kingdom,"January 28, 2021",2020,R,156 min,Action,Sample description for Title 98.
s0099,Movie,Title 99,Youssef Chahine,Brazil,"April 25, 2018",2018,G,84 min,Romantic,Sample description for Title 99.
s0100,Movie,Title 100,Steven Spielberg,India,"November 30, 2020",2024,PG-13,169 min,Crime,Sample description for Title 100.
s0101,Movie,Title 101,Jay Karas,Mexico,"January 01, 2019",2012,TV-14,109 min,Horror,Sample description for Title 101.
s0102,Movie,Title 102,Rajiv Chilaka,Mexico,"December 14, 2019",2011,TV-14,130 min,Documentaries,Sample description for Title 102.
s0103,Movie,Title 103,Martin Scorsese,United Kingdom,"December 09, 2021",2011,TV-PG,89 min,Action,Sample description for Title 103.
s0104,Movie,Title 104,Martin Scorsese,Canada,"July 31, 2024",2017,TV-MA,158 min,Thriller,Sample description for Title 104.
s0105,Movie,Title 105,Raúl Campos,United States,"March 03, 2021",2010,TV-MA,161 min,Romantic,Sample description for Title 105.
s0106,Movie,Title 106,Raúl Campos,United States,"March 04, 2024",2017,TV-PG,105 min,Horror,Sample description for Title 106.
s0107,Movie,Title 107,Ava DuVernay,Japan,"October 14, 2018",2013,TV-PG,120 min,Horror,Sample description for Title 107.
s0108,Movie,Title 108,Steven Spielberg,India,"July 26, 2019",2022,TV-MA,81 min,Thriller,Sample description for Title 108.
s0109,Movie,Title 109,Steven Spielberg,United States,"July 15, 2018",2015,PG-13,106 min,Thriller,Sample description for Title 109.
s0110,Movie,Title 110,Martin Scorsese,India,"August 18, 2021",2011,PG-13,138 min,Crime,Sample description for Title 110.
s0111,Movie,Title 111,Steven Spielberg,Spain,"August 27, 2019",2024,TV-14,160 min,Drama,Sample description for Title 111.
s0112,Movie,Title 112,Raúl Campos,Spain,"February 25, 2022",2023,PG-13,118 min,Documentaries,Sample description for Title 112.
s0113,Movie,Title 113,Marcus Raboy,South Korea,"October 14, 2023",2017,TV-PG,83 min,Drama,Sample description for Title 113.
s0114,Movie,Title 114,Steven Spielberg,India,"March 14, 2021",2020,PG-13,176 min,Children & Family,Sample description for Title 114.
s0115,Movie,Title 115,Jay Karas,South Korea,"October 25, 2023",2011,PG-13,130 min,Drama,Sample description for Title 115.
s0116,Movie,Title 116,Suhas Kadav,France,"September 08, 2019",2010,TV-MA,109 min,Thriller,Sample description for Title 116.
s0117,Movie,Title 117,Marcus Raboy,Mexico,"April 28, 2018",2011,TV-PG,108 min,Horror,Sample description for Title 117.
s0118,Movie,Title 118,Martin Scorsese,Brazil,"May 08, 2018",2017,TV-PG,113 min,Crime,Sample description for Title 118.
s0119,Movie,Title 119,Youssef Chahine,Canada,"June 13, 2020",2012,R,83 min,Thriller,Sample description for Title 119.
s0120,Movie,Title 120,Raúl Campos,Spain,"September 21, 2024",2023,R,166 min,Children & Family,Sample description for Title 120.
s0121,Movie,Title 121,Marcus Raboy,South Korea,"February 08, 2018",2020,PG-13,130 min,Crime,Sample description for Title 121.
s0122,Movie,Title 122,Suhas Kadav,Mexico,"September 30, 2020",2010,R,147 min,Drama,Sample description for Title 122.
s0123,Movie,Title 123,Rajiv Chilaka,Mexico,"February 08, 2023",2022,TV-14,139 min,Drama,Sample description for Title 123.
s0124,Movie,Title 124,Ava DuVernay,United States,"December 18, 2022",2024,TV-14,142 min,Comedy,Sample description for Title 124.
s0125,Movie,Title 125,Youssef Chahine,Canada,"July 23, 2019",2013,R,88 min,Romantic,Sample description for Title 125.
s0126,Movie,Title 126,Suhas Kadav,India,"June 25, 2021",2017,TV-PG,133 min,Horror,Sample description for Title 126.
s0127,Movie,Title 127,Jay Karas,South Korea,"September 25, 2018",2016,PG-13,130 min,Drama,Sample description for Title 127.
s0128,Movie,Title 128,Martin Scorsese,India,"March 10, 2023",2020,PG-13,93 min,International Movies,Sample description for Title 128.
s0129,Movie,Title 129,Suhas Kadav,Japan,"November 01, 2018",2016,R,118 min,Documentaries,Sample description for Title 129.
s0130,Movie,Title 130,Steven Spielberg,Brazil,"December 31, 2022",2015,PG,145 min,Crime,Sample description for Title 130.
s0131,Movie,Title 131,Marcus Raboy,Brazil,"September 24, 2021",2021,TV-14,169 min,Crime,Sample description for Title 131.
s0132,Movie,Title 132,Raúl Campos,India,"May 10, 2019",2023,PG,130 min,Romantic,Sample description for Title 132.
s0133,Movie,Title 133,Raúl Campos,Brazil,"September 16, 2022",2015,TV-PG,109 min,Children & Family,Sample description for Title 133.
s0134,Movie,Title 134,Steven Spielberg,Canada,"June 08, 2021",2017,PG,130 min,Documentaries,Sample description for Title 134.
s0135,Movie,Title 135,Jay Karas,Mexico,"June 18, 2019",2017,PG-13,138 min,Children & Family,Sample description for Title 135.
s0136,Movie,Title 136,Suhas Kadav,Spain,"August 28, 2020",2021,TV-14,89 min,Horror,Sample description for Title 136.
s0137,Movie,Title 137,Rajiv Chilaka,Japan,"February 12, 2021",2010,PG,123 min,Children & Family,Sample description for Title 137.
s0138,Movie,Title 138,Steven Spielberg,Spain,"April 28, 2024",2018,TV-14,147 min,Thriller,Sample description for Title 138.
s0139,Movie,Title 139,Marcus Raboy,United Kingdom,"May 28, 2021",2020,PG,104 min,Action,Sample description for Title 139.
s0140,Movie,Title 140,Steven Spielberg,Brazil,"July 27, 2024",2023,R,128 min,Action,Sample description for Title 140.
s0141,Movie,Title 141,Jay Karas,Japan,"June 25, 2021",2017,TV-PG,112 min,Romantic,Sample description for Title 141.
s0142,Movie,Title 142,Marcus Raboy,India,"September 20, 2021",2017,PG-13,102 min,Crime,Sample description for Title 142.
s0143,Movie,Title 143,Ken Burns,India,"June 22, 2022",2014,TV-PG,170 min,Action,Sample description for Title 143.
s0144,Movie,Title 144,Jay Karas,South Korea,"May 14, 2020",2020,TV-PG,150 min,Children & Family,Sample description for Title 144.
s0145,Movie,Title 145,Rajiv Chilaka,India,"May 02, 2021",2020,TV-PG,166 min,Horror,Sample description for Title 145.
s0146,Movie,Title 146,Ken Burns,Canada,"April 14, 2018",2019,PG,123 min,Comedy,Sample description for Title 146.
s0147,Movie,Title 147,Youssef Chahine,Mexico,"March 08, 2020",2015,TV-14,134 min,Crime,Sample description for Title 147.
s0148,Movie,Title 148,Raúl Campos,South Korea,"June 03, 2018",2015,TV-PG,160 min,International Movies,Sample description for Title 148.
s0149,Movie,Title 149,Ava DuVernay,Spain,"April 24, 2021",2021,G,174 min,Drama,Sample description for Title 149.
s0150,Movie,Title 150,Youssef Chahine,Japan,"April 18, 2018",2022,TV-MA,122 min,International Movies,Sample description for Title 150.
s0151,Movie,Title 151,Ava DuVernay,Spain,"November 17, 2021",2018,TV-14,117 min,Romantic,Sample description for Title 151.
s0152,Movie,Title 152,Jay Karas,Canada,"November 18, 2018",2015,G,118 min,International Movies,Sample description for Title 152.
s0153,Movie,Title 153,Steven Spielberg,India,"May 27, 2024",2015,TV-14,151 min,Crime,Sample description for Title 153.
s0154,Movie,Title 154,Suhas Kadav,United Kingdom,"January 08, 2023",2020,TV-14,149 min,Comedy,Sample description for Title 154.
s0155,Movie,Title 155,Marcus Raboy,United States,"May 08, 2022",2021,R,144 min,Thriller,Sample description for Title 155.
s0156,Movie,Title 156,Rajiv Chilaka,Mexico,"April 27, 2019",2012,TV-PG,80 min,Action,Sample description for Title 156.
s0157,Movie,Title 157,Steven Spielberg,Canada,"February 09, 2019",2012,PG,82 min,Comedy,Sample description for Title 157.
s0158,Movie,Title 158,Jay Karas,Spain,"December 17, 2018",2024,TV-MA,157 min,Documentaries,Sample description for Title 158.
s0159,Movie,Title 159,Ava DuVernay,South Korea,"August 19, 2018",2021,TV-PG,100 min,Comedy,Sample description for Title 159.
s0160,Movie,Title 160,Suhas Kadav,Brazil,"December 21, 2019",2017,PG,152 min,Thriller,Sample description for Title 160.
s0161,Movie,Title 161,Steven Spielberg,Canada,"January 08, 2022",2022,PG-13,160 min,Horror,Sample description for Title 161.
s0162,Movie,Title 162,Rajiv Chilaka,United States,"March 23, 2018",2011,TV-PG,156 min,Action,Sample description for Title 162.
s0163,Movie,Title 163,Ava DuVernay,Japan,"February 11, 2019",2019,PG-13,160 min,Thriller,Sample description for Title 163.
s0164,Movie,Title 164,Ken Burns,South Korea,"December 11, 2020",2010,PG-13,90 min,Children & Family,Sample description for Title 164.
s0165,Movie,Title 165,Marcus Raboy,Mexico,"May 25, 2023",2025,TV-PG,99 min,Children & Family,Sample description for Title 165.
s0166,Movie,Title 166,Ken Burns,Spain,"June 08, 2020",2024,G,102 min,International Movies,Sample description for Title 166.
s0167,Movie,Title 167,Marcus Raboy,Canada,"November 27, 2019",2021,PG-13,142 min,Comedy,Sample description for Title 167.
s0168,Movie,Title 168,Marcus Raboy,Canada,"November 26, 2018",2021,PG-13,119 min,Drama,Sample description for Title 168.
s0169,Movie,Title 169,Martin Scorsese,United States,"April 15, 2023",2025,PG,84 min,International Movies,Sample description for Title 169.
s0170,Movie,Title 170,Youssef Chahine,Brazil,"January 05, 2023",2012,R,113 min,Thriller,Sample description for Title 170.
s0171,Movie,Title 171,Suhas Kadav,South Korea,"September 30, 2024",2020,TV-MA,121 min,Horror,Sample description for Title 171.
s0172,Movie,Title 172,Steven Spielberg,India,"December 20, 2020",2020,PG-13,178 min,Children & Family,Sample description for Title 172.
s0173,Movie,Title 173,Youssef Chahine,Japan,"January 13, 2022",2021,PG-13,176 min,Crime,Sample description for Title 173.
s0174,Movie,Title 174,Martin Scorsese,Spain,"February 02, 2020",2018,TV-MA,176 min,Thriller,Sample description for Title 174.
s0175,Movie,Title 175,Suhas Kadav,France,"February 01, 2023",2011,TV-PG,91 min,Children & Family,Sample description for Title 175.
s0176,Movie,Title 176,Suhas Kadav,Canada,"June 27, 2021",2023,TV-MA,164 min,Drama,Sample description for Title 176.
s0177,Movie,Title 177,Raúl Campos,France,"April 04, 2018",2018,TV-MA,115 min,Crime,Sample description for Title 177.
s0178,Movie,Title 178,Youssef Chahine,South Korea,"August 15, 2024",2015,G,89 min,Romantic,Sample description for Title 178.
s0179,Movie,Title 179,Rajiv Chilaka,Mexico,"March 19, 2022",2021,R,149 min,Comedy,Sample description for Title 179.
s0180,Movie,Title 180,Jay Karas,United Kingdom,"June 07, 2023",2021,PG,89 min,Thriller,Sample description for Title 180.
s0181,Movie,Title 181,Steven Spielberg,South Korea,"December 30, 2022",2012,TV-PG,134 min,Children & Family,Sample description for Title 181.
s0182,Movie,Title 182,Suhas Kadav,United Kingdom,"January 09, 2019",2017,G,93 min,Horror,Sample description for Title 182.
s0183,Movie,Title 183,Marcus Raboy,India,"December 29, 2023",2024,G,102 min,Drama,Sample description for Title 183.
s0184,Movie,Title 184,Ken Burns,United States,"June 24, 2019",2011,PG,92 min,Drama,Sample description for Title 184.
s0185,Movie,Title 185,Marcus Raboy,South Korea,"May 03, 2023",2013,TV-MA,108 min,Horror,Sample description for Title 185.
s0186,Movie,Title 186,Raúl Campos,Japan,"November 24, 2019",2010,PG,88 min,Comedy,Sample description for Title 186.
s0187,Movie,Title 187,Ken Burns,Japan,"October 31, 2019",2025,TV-MA,89 min,Drama,Sample description for Title 187.
s0188,Movie,Title 188,Marcus Raboy,Spain,"April 03, 2019",2017,TV-PG,85 min,Comedy,Sample description for Title 188.
s0189,Movie,Title 189,Rajiv Chilaka,Brazil,"January 30, 2021",2019,PG-13,100 min,Children & Family,Sample description for Title 189.
s0190,Movie,Title 190,Rajiv Chilaka,France,"December 01, 2019",2016,PG-13,81 min,Action,Sample description for Title 190.
s0191,Movie,Title 191,Steven Spielberg,Spain,"May 13, 2019",2012,TV-14,100 min,Thriller,Sample description for Title 191.
s0192,Movie,Title 192,Suhas Kadav,Mexico,"August 08, 2024",2014,R,111 min,Action,Sample description for Title 192.
s0193,Movie,Title 193,Ken Burns,Mexico,"November 16, 2021",2010,TV-MA,98 min,Crime,Sample description for Title 193.
s0194,Movie,Title 194,Steven Spielberg,India,"October 25, 2024",2014,TV-PG,145 min,Crime,Sample description for Title 194.
s0195,Movie,Title 195,Marcus Raboy,United States,"August 01, 2019",2016,TV-PG,122 min,Drama,Sample description for Title 195.
s0196,Movie,Title 196,Ava DuVernay,France,"July 10, 2021",2013,TV-MA,114 min,Crime,Sample description for Title 196.
s0197,Movie,Title 197,Youssef Chahine,Brazil,"June 12, 2023",2016,G,152 min,Action,Sample description for Title 197.
s0198,Movie,Title 198,Raúl Campos,France,"August 04, 2023",2019,TV-MA,177 min,Documentaries,Sample description for Title 198.
s0199,Movie,Title 199,Ava DuVernay,United States,"August 05, 2019",2022,G,81 min,Documentaries,Sample description for Title 199.
s0200,Movie,Title 200,Marcus Raboy,South Korea,"December 19, 2020",2020,TV-PG,86 min,International Movies,Sample description for Title 200.
s0201,Movie,Title 201,Ava DuVernay,United Kingdom,"August 08, 2021",2020,TV-14,145 min,International Movies,Sample description for Title 201.
s0202,Movie,Title 202,Rajiv Chilaka,United Kingdom,"April 26, 2022",2013,R,109 min,Romantic,Sample description for Title 202.
s0203,Movie,Title 203,Martin Scorsese,France,"June 25, 2020",2019,TV-PG,125 min,Children & Family,Sample description for Title 203.
s0204,Movie,Title 204,Rajiv Chilaka,United States,"February 13, 2018",2020,R,114 min,Romantic,Sample description for Title 204.
s0205,Movie,Title 205,Martin Scorsese,India,"February 18, 2018",2016,PG-13,145 min,Thriller,Sample description for Title 205.
s0206,Movie,Title 206,Ken Burns,Brazil,"October 05, 2022",2010,TV-MA,153 min,Comedy,Sample description for Title 206.
s0207,Movie,Title 207,Marcus Raboy,India,"April 06, 2024",2017,TV-MA,168 min,Thriller,Sample description for Title 207.
s0208,Movie,Title 208,Martin Scorsese,Spain,"April 18, 2019",2021,R,169 min,Drama,Sample description for Title 208.
s0209,Movie,Title 209,Suhas Kadav,Canada,"November 02, 2022",2016,TV-MA,114 min,Romantic,Sample description for Title 209.
s0210,TV Show,Title 210,Marcus Raboy,France,"January 08, 2020",2014,PG,5 min,Horror,Sample description for Title 210.
s0211,TV Show,Title 211,Marcus Raboy,Canada,"February 25, 2020",2013,PG-13,6 min,Thriller,Sample description for Title 211.
s0212,TV Show,Title 212,Rajiv Chilaka,Mexico,"August 31, 2022",2018,TV-14,2 min,Horror,Sample description for Title 212.
s0213,TV Show,Title 213,Youssef Chahine,Canada,"April 20, 2020",2013,TV-PG,8 min,Romantic,Sample description for Title 213.
s0214,TV Show,Title 214,Steven Spielberg,Mexico,"January 21, 2022",2022,PG-13,6 min,Crime,Sample description for Title 214.
s0215,TV Show,Title 215,Ken Burns,Mexico,"February 07, 2024",2013,TV-14,2 min,Romantic,Sample description for Title 215.
s0216,TV Show,Title 216,Ken Burns,France,"December 09, 2023",2010,TV-14,4 min,Thriller,Sample description for Title 216.
s0217,TV Show,Title 217,Rajiv Chilaka,Japan,"June 07, 2020",2025,TV-14,1 min,Horror,Sample description for Title 217.
s0218,TV Show,Title 218,Jay Karas,Spain,"January 25, 2021",2019,PG,3 min,Horror,Sample description for Title 218.
s0219,TV Show,Title 219,Marcus Raboy,Spain,"September 12, 2019",2025,TV-PG,7 min,Horror,Sample description for Title 219.
s0220,TV Show,Title 220,Raúl Campos,France,"April 08, 2021",2022,G,7 min,Children & Family,Sample description for Title 220.
s0221,TV Show,Title 221,Youssef Chahine,Mexico,"May 22, 2020",2018,G,5 min,Thriller,Sample description for Title 221.
s0222,TV Show,Title 222,Raúl Campos,South Korea,"March 19, 2020",2018,G,1 min,Thriller,Sample description for Title 222.
s0223,TV Show,Title 223,Raúl Campos,India,"October 14, 2018",2012,TV-PG,6 min,Drama,Sample description for Title 223.
s0224,TV Show,Title 224,Jay Karas,Spain,"August 21, 2024",2020,PG,2 min,Documentaries,Sample description for Title 224.
